,RTWEXBGS,EXPGS,EXPGS_lag2,usd_pct,exports_pct
2018Q1,100.44896666666666,2517.268,2384.524,-0.02544098965892827,0.014828821444272666
2018Q2,103.0278,2562.172,2479.107,0.025673069807587323,0.039665358788588456
2018Q3,105.49466666666666,2535.501,2517.268,0.02394369933810747,0.015393042736759677
2018Q4,107.3379,2537.415,2562.172,0.01747228927844713,0.017838386695417485
2019Q1,106.24193333333334,2540.244,2535.501,-0.01021043514608233,-0.010409527541476504
2019Q2,106.97156666666666,2547.448,2537.415,0.006867658658320064,0.000754880396418578
2019Q3,107.83076666666666,2532.405,2540.244,0.00803204091305254,0.0011149141941702023
2019Q4,107.69236666666666,2537.466,2547.448,-0.0012834926828243498,0.002835948042786418
2020Q1,108.7715,2430.941,2532.405,0.01002051832209716,-0.0059051254431885525
2020Q2,112.06313333333333,1829.691,2537.466,0.030261909905934248,0.0019984955013119254
2020Q3,108.4794,2116.753,2430.941,-0.03197959245591919,-0.04198085806864016
2020Q4,105.70776666666666,2277.965,1829.691,-0.02554985862139114,-0.24733220592354965
2021Q1,104.16703333333334,2393.033,2116.753,-0.014575403321042568,0.1568909723007874
2021Q2,104.8393,2522.815,2277.965,0.006453737282844596,0.07616004323603187
2021Q3,106.91300000000001,2581.341,2393.033,0.01977979631683935,0.05051350657275222
2021Q4,109.17236666666666,2777.597,2522.815,0.02113275903460421,0.054233267990871914
2022Q1,110.15913333333333,2865.226,2581.341,0.009038612029723003,0.023198688766318476
2022Q2,113.70053333333333,3093.734,2777.597,0.03214803795963039,0.07602869981145477
2022Q3,117.83210000000001,3129.075,2865.226,0.03633726725409692,0.03154849317593578
2022Q4,118.58463333333333,3057.684,3093.734,0.0063864883451394405,0.07975217312700633
2023Q1,114.3941,3085.516,3129.075,-0.035337911966671354,0.011423412614012696
2023Q2,113.50580000000001,3016.211,3057.684,-0.007765260620958503,-0.02281536875913792
2023Q3,113.72066666666666,3082.082,3085.516,0.0018930016498421853,0.009102314038991643
2023Q4,115.19823333333333,3109.632,3016.211,0.012992947631916829,-0.02246139705644057
2024Q1,114.32929999999999,3164.101,3082.082,-0.007542939749944133,0.021838989381048002
2024Q2,116.13850000000001,3192.632,3109.632,0.015824464944681926,0.008938762823312407
2024Q3,115.86506666666666,3256.486,3164.101,-0.002354372868026866,0.017516220568864815
2024Q4,119.127,3248.255,3192.632,0.02815286287037333,0.009017095219147508
2025Q1,121.22996666666667,3293.661,3256.486,0.017653148880326652,0.020000425980820857
2025Q2,116.08473333333332,3267.506,3248.255,-0.042441926487372994,-0.00252757113035329
2025Q3,114.35563333333334,3366.868,3293.661,-0.014895154171866154,0.013978582346521495
2025Q4,114.86473333333333,3350.605,3267.506,0.004451901363844657,-0.007941011537010101
